Sample	Coverage	FNR_Value	Hausdorff_Distance	Frechet_Distance	SSE	SSE_log10	Distance_Scale
gr_wolf.spain.SAMN04851099	5.0	0.91	2573761877.824075	2573761877.824075	1541310004582.4856	15.65083543878757	psmc
gr_wolf.spain.SAMN04851099	5.0	0.92	3008370624.861113	3008370624.861113	2078583227079.417	17.817555550357234	psmc
gr_wolf.spain.SAMN04851099	5.0	0.93	3567153299.623019	3567153299.623019	2729467292277.661	19.897589212440614	psmc
gr_wolf.spain.SAMN04851099	5.0	0.94	4312196865.9722185	4312196865.9722185	3723248629712.5674	22.50194046986301	psmc
gr_wolf.spain.SAMN04851099	5.0	0.95	5355257858.861104	5415116975.31666	5180462552939.147	25.715220386102747	psmc
gr_wolf.spain.SAMN04851099	5.0	0.96	6909200387.083326	6999627375.616659	7623051659815.252	30.225425581199428	psmc
gr_wolf.spain.SAMN04851099	5.0	0.97	8948442525.972214	9038869514.505547	11379248855917.012	35.4227651329604	psmc
gr_wolf.spain.SAMN04851099	5.0	0.98	12021366432.63888	12111793421.172213	19615051797577.895	44.48455849991964	psmc
gr_wolf.spain.SAMN04851099	5.0	0.99	21958502147.08331	21958502147.08331	46299988380580.914	63.971056568763345	psmc
gr_wolf.spain.SAMN04851099	6.0	0.0	509973751.41666657	512770687.7833333	125276685165.72408	10.390612691716916	psmc
gr_wolf.spain.SAMN04851099	6.0	0.01	506002697.40600437	509934119.88872045	123958752316.17029	10.274233273846544	psmc
gr_wolf.spain.SAMN04851099	6.0	0.02	501950601.4767574	507039662.85340136	122619886765.25195	10.161646716724075	psmc
gr_wolf.spain.SAMN04851099	6.0	0.03	497814957.177835	504085526.2915807	121343245054.63889	10.057949869470063	psmc
gr_wolf.spain.SAMN04851099	6.0	0.04	493593153.62268513	501069845.21805555	118825870965.79475	9.834716980249073	psmc
gr_wolf.spain.SAMN04851099	6.0	0.05	489282469.99269	497990676.1219298	117400926785.21545	9.723762249762332	psmc
gr_wolf.spain.SAMN04851099	6.0	0.06	484880069.6897163	494845992.7897163	115936680493.19661	9.612740715317292	psmc
gr_wolf.spain.SAMN04851099	6.0	0.07	480382994.1114097	491633681.85896057	114440468220.77632	9.474591590294054	psmc
gr_wolf.spain.SAMN04851099	6.0	0.08	475788156.0205314	488351538.081884	113185127485.12688	9.388531669757187	psmc
gr_wolf.spain.SAMN04851099	6.0	0.09	471092332.4771062	484997259.2767399	111698779719.59183	9.276128692167852	psmc
gr_wolf.spain.SAMN04851099	6.0	0.1	466292157.2993826	481568440.9425925	109856260562.0219	9.027890070280332	psmc
gr_wolf.spain.SAMN04851099	6.0	0.11	461384113.0165418	478062570.5110486	108422644432.45306	8.923909492707784	psmc
gr_wolf.spain.SAMN04851099	6.0	0.12	456364522.2727273	474477021.20606065	105655047820.56451	8.706331525283428	psmc
gr_wolf.spain.SAMN04851099	6.0	0.13	451229538.63825023	470809045.4802682	104117207923.07639	8.601913158599398	psmc
gr_wolf.spain.SAMN04851099	6.0	0.14	445975136.7797157	467055767.9934108	102567799482.94695	8.489376888010899	psmc
gr_wolf.spain.SAMN04851099	6.0	0.15	440597101.9362744	463214178.09509796	100936075905.31384	8.364116193993647	psmc
gr_wolf.spain.SAMN04851099	6.0	0.16	435091018.6441798	459281121.7706349	99506909029.35225	8.275878024543546	psmc
gr_wolf.spain.SAMN04851099	6.0	0.17	429452258.6462516	455253293.0046184	97383174994.05762	7.968062749863271	psmc
gr_wolf.spain.SAMN04851099	6.0	0.18	423675967.9166666	451127224.5126016	95776762598.23766	7.86272205677835	psmc
gr_wolf.spain.SAMN04851099	6.0	0.19	417757052.7246227	446899277.78621393	92878119035.0155	7.66156020627462	psmc
gr_wolf.spain.SAMN04851099	6.0	0.2	411690164.6527778	442565632.3916667	91167384487.1967	7.556364422450516	psmc
